,id,x,y,z,i,j,k,degree,to_remove
9846,113.0,280.0,196.29909152447274,163.2993161855452,56.0,39.25981830489455,5.443310539518174,6.0,False
9847,114.0,320.0,196.29909152447274,163.2993161855452,64.0,39.25981830489455,5.443310539518174,9.0,False
9848,115.0,360.0,196.29909152447274,163.2993161855452,72.0,39.25981830489455,5.443310539518174,3.0,False
9850,116.0,440.0,196.29909152447274,163.2993161855452,88.0,39.25981830489455,5.443310539518174,4.0,False
9851,117.0,480.0,196.29909152447274,163.2993161855452,96.0,39.25981830489455,5.443310539518174,9.0,False
9853,118.0,560.0,196.29909152447274,163.2993161855452,112.0,39.25981830489455,5.443310539518174,6.0,False
9854,119.0,600.0,196.29909152447274,163.2993161855452,120.0,39.25981830489455,5.443310539518174,10.0,False
9855,120.0,640.0,196.29909152447274,163.2993161855452,128.0,39.25981830489455,5.443310539518174,2.0,False
9887,121.0,260.0,230.94010767585027,163.2993161855452,52.0,46.18802153517005,5.443310539518174,5.0,False
9888,122.0,300.0,230.94010767585027,163.2993161855452,60.0,46.18802153517005,5.443310539518174,5.0,False
9889,123.0,340.0,230.94010767585027,163.2993161855452,68.0,46.18802153517005,5.443310539518174,10.0,False
9890,124.0,380.0,230.94010767585027,163.2993161855452,76.0,46.18802153517005,5.443310539518174,6.0,False
9891,125.0,420.0,230.94010767585027,163.2993161855452,84.0,46.18802153517005,5.443310539518174,11.0,False
9892,126.0,460.0,230.94010767585027,163.2993161855452,92.0,46.18802153517005,5.443310539518174,9.0,False
9893,127.0,500.0,230.94010767585027,163.2993161855452,100.0,46.18802153517005,5.443310539518174,4.0,False
9929,128.0,320.0,265.5811238272278,163.2993161855452,64.0,53.116224765445565,5.443310539518174,10.0,False
9930,129.0,360.0,265.5811238272278,163.2993161855452,72.0,53.116224765445565,5.443310539518174,8.0,False
9931,130.0,400.0,265.5811238272278,163.2993161855452,80.0,53.116224765445565,5.443310539518174,4.0,False
9932,131.0,440.0,265.5811238272278,163.2993161855452,88.0,53.116224765445565,5.443310539518174,11.0,False
9969,132.0,260.0,300.22213997860536,163.2993161855452,52.0,60.04442799572107,5.443310539518174,2.0,False
9970,133.0,300.0,300.22213997860536,163.2993161855452,60.0,60.04442799572107,5.443310539518174,9.0,False
9971,134.0,340.0,300.22213997860536,163.2993161855452,68.0,60.04442799572107,5.443310539518174,12.0,False
9972,135.0,380.0,300.22213997860536,163.2993161855452,76.0,60.04442799572107,5.443310539518174,8.0,False
9973,136.0,420.0,300.22213997860536,163.2993161855452,84.0,60.04442799572107,5.443310539518174,8.0,False
9974,137.0,460.0,300.22213997860536,163.2993161855452,92.0,60.04442799572107,5.443310539518174,11.0,False
9975,138.0,500.0,300.22213997860536,163.2993161855452,100.0,60.04442799572107,5.443310539518174,2.0,False
10010,139.0,280.0,334.86315612998294,163.2993161855452,56.0,66.9726312259966,5.443310539518174,11.0,False
10011,140.0,320.0,334.86315612998294,163.2993161855452,64.0,66.9726312259966,5.443310539518174,12.0,False
10012,141.0,360.0,334.86315612998294,163.2993161855452,72.0,66.9726312259966,5.443310539518174,12.0,False
